Rpt Rec Num,Prvdr Num Chr,Provider Name,City,State Abbrev,Clean Provider Group,Clean Provider Model Class,Revenue Source Method,Stabilization Tier,Stabilization Basis,Net Patient Revenue Model,Outpatient Exposure Used,Outpatient Repricing Pressure,Uncompensated Care Offset,Stabilization Support,Base Net Impact,Base Net Impact Pct Npr,Scenario B 50pct Repricing Net Impact,Scenario B 50pct Repricing Net Impact Pct Npr,Scenario C 25pct Repricing Net Impact,Scenario C 25pct Repricing Net Impact Pct Npr,Scenario D Floor 7 5pct Added Support,Scenario D Floor 7 5pct Net Impact Pct Npr,Scenario F 25pct Repricing Floor 5pct Added Support,Scenario F 25pct Repricing Floor 5pct Net Impact Pct Npr
824549,174022,OSAWATOMIE STATE HOSPITAL,OSAWATOMIE,KS,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,1261450,6818534.6,-681853.46,$0,$0,"-$681,853",-0.540531499464902,-340926.73,-0.270265749732451,-170463.365,-0.135132874866225,587244.71,-0.075,107390.865,-0.05
824120,314013,TRENTON PSYCHIATRIC HOSPITAL,W. TRENTON,NJ,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,2651352,11735926.6,-1173592.66,$0,$0,"-$1,173,593",-0.442639325144304,-586796.33,-0.221319662572152,-293398.165,-0.110659831286076,974741.26,-0.075,160830.565,-0.05
829574,100298,FLORIDA STATE HOSPITAL,CHATTACHOOCHEE,FL,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,4673151,18221958.8,-1822195.88,$0,$0,"-$1,822,196",-0.38992873973043,-911097.94,-0.194964369865215,-455548.97,-0.0974821849326076,1471709.555,-0.075,221891.42,-0.05
825602,314016,GREYSTONE PARK PSYCH. HOSPITAL,GREYSTONE PARK,NJ,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,4581218,13282551.1,-1328255.11,$0,$0,"-$1,328,255",-0.28993492778558,-664127.555,-0.14496746389279,-332063.7775,-0.072483731946395,984663.76,-0.075,103002.8775,-0.05
829435,104001,SOUTH FLORIDA STATE HOSPITAL,PEMBROKE PINES,FL,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,1761750,4219852.1,-421985.21,$0,$0,"-$421,985",-0.239526158649071,-210992.605,-0.119763079324535,-105496.3025,-0.0598815396622676,289853.96,-0.075,17408.8025,-0.05
825601,314005,ANCORA PSYCHIATRIC HOSPITAL,ANCORA,NJ,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,6124099,13374210.3,-1337421.03,$0,$0,"-$1,337,421",-0.218386578989007,-668710.515,-0.109193289494504,-334355.2575,-0.0545966447472518,878113.605,-0.075,28150.3075,-0.05
825734,64003,COLORADO MENTAL HEALTH INST-FT LOGAN,DENVER,CO,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,3449599,6295060.5,-629506.05,$0,$0,"-$629,506",-0.182486732515866,-314753.025,-0.0912433662579332,-157376.5125,-0.0456216831289666,370786.125,-0.075,0,-0.0456216831289666
827961,494021,WESTERN STATE HOSPITAL,STAUNTON,VA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,7459541,11049694.8,-1104969.48,$0,$0,"-$1,104,969",-0.14812834730716,-552484.74,-0.07406417365358,-276242.37,-0.03703208682679,545503.905,-0.075,0,-0.03703208682679
827821,254009,NORTH MISSISSIPPI STATE HOSPITAL,TUPELO,MS,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,653603,966429,-96642.9,$0,$0,"-$96,643",-0.147861775420247,-48321.45,-0.0739308877101237,-24160.725,-0.0369654438550619,47622.675,-0.075,0,-0.0369654438550619
826605,104007,NORTHEAST FLORIDA STATE HOSPITAL,MACCLENNY,FL,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,7602808,10598124.9,-1059812.49,$0,$0,"-$1,059,812",-0.139397508131206,-529906.245,-0.0696987540656031,-264953.1225,-0.0348493770328016,489601.89,-0.075,0,-0.0348493770328016
827960,494017,SOUTHERN VIRGINIA MENTAL HEALTH INST,DANVILLE,VA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,2819298,3055074.2,-305507.42,$0,$0,"-$305,507",-0.108362939994282,-152753.71,-0.0541814699971411,-76376.855,-0.0270907349985706,94060.07,-0.075,0,-0.0270907349985706
827770,374006,CARL ALBERT COMMUNITY MENTAL HEALTH,MCALESTER,OK,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,Tier 0 - not eligible,none,8542915,7581479.63071174,-758147.963071175,$0,$0,"-$758,148",-0.0887458160441927,-379073.981535588,-0.0443729080220964,-189536.990767794,-0.0221864540110482,117429.338071175,-0.075,0,-0.0221864540110482
829827,374008,JIM TALIAFERRO COMM MENTAL HLTH CNTR,LAWTON,OK,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,Tier 0 - not eligible,none,6868750,5928851.58834846,-592885.158834846,$0,$0,"-$592,885",-0.0863163106583944,-296442.579417423,-0.0431581553291972,-148221.289708712,-0.0215790776645986,77728.908834846,-0.075,0,-0.0215790776645986
826660,294002,SOUTHERN NEVADA ADULT MENTAL HEALTH,LAS VEGAS,NV,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,Tier 0 - not eligible,none,13049472,11155790,-1115579,$0,$0,"-$1,115,579",-0.085488439685529,-557789.5,-0.0427442198427645,-278894.75,-0.0213721099213823,136868.6,-0.075,0,-0.0213721099213823
825593,294000,NORTHERN NEVADA ADULT MENTAL HEALTH,SPARKS,NV,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,Tier 0 - not eligible,none,3618460,3076035,-307603.5,$0,$0,"-$307,604",-0.0850095068067631,-153801.75,-0.0425047534033816,-76900.875,-0.0212523767016908,36219,-0.075,0,-0.0212523767016908
829458,234041,CENTER FOR FORENSIC PSYCHIATRY,ANN ARBOR,MI,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,13385548,10896468.1,-1089646.81,$0,$0,"-$1,089,647",-0.0814047217192752,-544823.405,-0.0407023608596376,-272411.7025,-0.0203511804298188,85730.7100000001,-0.075,0,-0.0203511804298188
829615,374001,NORTHWEST CTR FOR BEHAVIORAL HEALTH,WOODWARD,OK,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,Tier 0 - not eligible,none,3209044,2602951.81226756,-260295.181226756,$0,$0,"-$260,295",-0.0811129985212904,-130147.590613378,-0.0405564992606452,-65073.795306689,-0.0202782496303226,19616.881226756,-0.075,0,-0.0202782496303226
824403,494010,NORTHERN VIRGINIA MENTAL HEALTH INST,FALLS CHURCH,VA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,7645002,6113667.4,-611366.74,$0,$0,"-$611,367",-0.0799694676338868,-305683.37,-0.0399847338169434,-152841.685,-0.0199923669084717,37991.59,-0.075,0,-0.0199923669084717
828844,354003,ND STATE HOSPITAL,JAMESTOWN,ND,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,5745994,4463213.2,-446321.32,$0,$0,"-$446,321",-0.0776752151150872,-223160.66,-0.0388376075575436,-111580.33,-0.0194188037787718,15371.77,-0.075,0,-0.0194188037787718
826491,314011,UNIVERSITY BEHAVIORAL HEALTHCARE,PISCATAWAY,NJ,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,Tier 0 - not eligible,none,35267548,26055043.5379769,-2605504.35379769,$0,$0,"-$2,605,504",-0.0738782393887347,-1302752.17689885,-0.0369391196943673,-651376.088449423,-0.0184695598471837,0,-0.0738782393887347,0,-0.0184695598471837
829103,234035,WALTER REUTHER PSYCHIATRIC HOSPITAL,WESTLAND,MI,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,9230304,6386673.6,-638667.36,$0,$0,"-$638,667",-0.0691924512995455,-319333.68,-0.0345962256497728,-159666.84,-0.0172981128248864,0,-0.0691924512995455,0,-0.0172981128248864
829669,254008,SOUTH MISSISSIPPI STATE HOSPITAL,PURVIS,MS,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,Tier 0 - not eligible,none,1497020,939411.6,-93941.16,$0,$0,"-$93,941",-0.0627521075202736,-46970.58,-0.0313760537601368,-23485.29,-0.0156880268800684,0,-0.0627521075202736,0,-0.0156880268800684
